id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,DDC,What an adorable girl!!,https://img.upanh.tv/2023/08/04/1_auto_x2.jpg,https://img.upanh.tv/2023/08/04/1_auto_x2.jpg,0,35,0,0,0,0,Lovely daughter
2,DDC,Wow she looks just like Elsa,https://img.upanh.tv/2023/08/04/25_auto_x2.jpg,https://img.upanh.tv/2023/08/04/25_auto_x2.jpg,0,32,0,0,0,0,Elsa
3,DDC,She looks so cute but she may be trouble in the future,https://img.upanh.tv/2023/08/04/6c4ca3d736c2ae0b87b4ca7c9d251838_auto_x2.jpg,https://img.upanh.tv/2023/08/04/6c4ca3d736c2ae0b87b4ca7c9d251838_auto_x2.jpg,0,30,0,0,0,0,Future Daughter
4,DDC,She looks just like Wolverine,https://img.upanh.tv/2023/08/04/24034e79a48ce0ef18.jpg,https://img.upanh.tv/2023/08/04/24034e79a48ce0ef18.jpg,0,31,0,0,0,0,Werewolf
5,DDC,Your daughter will be really hard to teach because of her behavior,https://img.upanh.tv/2023/08/04/23c1686d495cd58713.jpg,0,https://img.upanh.tv/2023/08/04/23c1686d495cd58713.jpg,28,0,0,0,0,Headstrong daughter
6,DDC,Wow your daughter will become an artist for sure. Look how talented she is,https://img.upanh.tv/2023/08/04/2216f009428a1e5a5d.jpg,https://img.upanh.tv/2023/08/04/2216f009428a1e5a5d.jpg,0,26,0,0,0,0,Talented daughter
7,DDC,Your kid will be wonderful no question,https://img.upanh.tv/2023/08/04/2_auto_x2.jpg,https://img.upanh.tv/2023/08/04/2_auto_x2.jpg,0,31,0,0,0,0,Wonderful kid
8,DDC,Look how smart and cute is he. But he will be a big trouble,https://img.upanh.tv/2023/08/04/3_auto_x2.jpg,0,https://img.upanh.tv/2023/08/04/3_auto_x2.jpg,30,0,0,0,0,Double trouble
9,DDC,"L""ook at his hair. He is Son Goku""",https://img.upanh.tv/2023/08/04/4_auto_x2.jpg,https://img.upanh.tv/2023/08/04/4_auto_x2.jpg,0,29,0,0,0,0,Son Son
10,DDC,"Believe it or not, your kids will look like that",https://img.upanh.tv/2023/08/04/6_auto_x2.jpg,https://img.upanh.tv/2023/08/04/6_auto_x2.jpg,0,27,0,0,0,0,Your future children
11,DDC,They are twins but their character will be different,https://afamilycdn.com/150157425591193600/2021/8/3/base64-1627991839753463732968.png,0,https://afamilycdn.com/150157425591193600/2021/8/3/base64-1627991839753463732968.png,22,0,0,0,0,Twins but not twins
12,DDC,Everyone at his age should follow him or else it will be a mess,https://img.upanh.tv/2023/08/04/8_auto_x2.jpg,0,https://img.upanh.tv/2023/08/04/8_auto_x2.jpg,26,0,0,0,0,Bossy kid
13,DDC,You will never know what she is capable of,https://img.upanh.tv/2023/08/04/5_auto_x2.jpg,https://img.upanh.tv/2023/08/04/5_auto_x2.jpg,0,27,0,0,0,0,Talented kid
14,DDC,He's gonna destroy your food every time you serve. Be prepared,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/1.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/1%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/1%20(2).png,28,0,0,0,0,Messy kid
15,DDC,What an adorable kid you have,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/2.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/2%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/2%20(1).png,28,0,0,0,0,Lovely son
16,DDC,Your son will be superman,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/3.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/3%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/3%20(1).png,31,0,0,0,0,Boy wonder
17,DDC,You will have a kid after 35 but look how adorable he is!!,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/4.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/4%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/4%20(2).png,42,0,0,0,1,Lovely son
18,DDC,"Your kid is an amazing creature. She is full of wonder, curiosity, and creativity",https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/5.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/5%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/5%20(1).png,31,0,0,0,0,Amazing daughter
19,DDC,She is resilient. She will bounce back from setbacks and challenges.,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/6.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/6%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/6%20(2).png,33,0,0,0,1,Tough girl
20,DDC,Kids are a joy to be around. They make your life more fun and interesting.,https://i.ibb.co/z4BhbDR/360-F-6881230-x4-Iw-HIfj-YEe02-UBDXDDIll5rfstxvp2j.webp,https://i.ibb.co/z4BhbDR/360-F-6881230-x4-Iw-HIfj-YEe02-UBDXDDIll5rfstxvp2j.webp,0,34,0,0,0,0,Joyful
21,DDC,He looks like a half-breed. So beautiful,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/8.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/8%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/8%20(2).png,36,0,0,0,1,Half-breed kid
22,DDC,Your child is so creative. They come up with the most amazing ideas,https://raw.githubusercontent.com/Thang1911/Save_Image/main/fix%20data%20-%202/9.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/fix%20data%20-%202/9%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/fix%20data%20-%202/9%20(2).png,24,0,0,0,1,Creative kid
23,DDC,"He will be really clumsy but still, he will be your son. What can you do",https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/10.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/10%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/10%20(2).png,23,0,0,0,1,Clumsy kid
24,DDC,Your child is so loved. She is surrounded by so much love and support,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/11.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/11%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/11%20(1).png,33,0,0,0,0,Future Daughter
25,DDC,Your child will be so smart. He learns new things really quickly,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/12.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/12%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/9/12%20(1).png,35,0,0,0,0,Smart kid
