id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,CLGD,"Today, both families meet to discuss marriage",https://raw.githubusercontent.com/spiderdassness/anh_raw/8b2e02b294082376749910777349d01af94a9523/wedding1.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/8b2e02b294082376749910777349d01af94a9523/wedding1_n.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/8b2e02b294082376749910777349d01af94a9523/wedding1_A.jpg,30,1,1,2,0,Discuss marriage
2,CLGD,The mother forces her son to see his eyes,https://i.ibb.co/7V5wMXy/photo-1-15690538951041229964467.jpg,https://i.ibb.co/zSjCndv/toolxox-com-split-image-1.png,https://i.ibb.co/GtDw3C8/toolxox-com-split-image.png,28,0,2,1,1,Blind date
3,CLGD,"After all the children got married, the couple stopped working to travel around the world",https://raw.githubusercontent.com/spiderdassness/anh_raw/6832391cd9888bda115e0f3f3e5d6c2b1aab783e/mi.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/6832391cd9888bda115e0f3f3e5d6c2b1aab783e/mi_nu.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/6832391cd9888bda115e0f3f3e5d6c2b1aab783e/mi_n.jpg,30,1,3,2,1,Retirement Journeys
4,CLGD,Mother-in-law and daughter-in-law often fight,https://raw.githubusercontent.com/spiderdassness/anh_raw/3ac2b072c988f9a1b06af8e4bad7cc7c22ace168/mc.jpg,https://raw.githubusercontent.com/test2003ondev/my_library/main/toolxox-com-split-image%20(4).png,https://raw.githubusercontent.com/test2003ondev/my_library/main/toolxox-com-split-image%20(5).png,40,0,1,0,0,Bitter Kinship
5,CLGD,The mother objected to the son who asked to marry the girl who lost his virginity,https://raw.githubusercontent.com/test2003ondev/my_library/main/5e4bb73d-5e4c-4670-b2f3-8f27e7bd0937.jpg,https://raw.githubusercontent.com/test2003ondev/my_library/main/toolxox-com-split-image%20(6).png,https://raw.githubusercontent.com/test2003ondev/my_library/main/toolxox-com-split-image%20(7).png,30,1,0,0,0,Love's Past Challenge
6,CLGD,Single mother accepted the marriage proposal of a boy 10 years younger than her,https://raw.githubusercontent.com/test2003ondev/my_library/main/me-don-than-1.png,https://raw.githubusercontent.com/test2003ondev/my_library/main/toolxox-com-split-image%20(8).png,https://raw.githubusercontent.com/test2003ondev/my_library/main/toolxox-com-split-image%20(9).png,30,0,1,0,0,Ties of Timeless Love
7,CLGD,The couple's son will marry the ex-girlfriend of the husband and the three of them will live together under one roof,https://raw.githubusercontent.com/spiderdassness/anh_raw/b6447077ce79093de63b2e7d0f88bd70fd46bf7a/js.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/b6447077ce79093de63b2e7d0f88bd70fd46bf7a/js_n.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/b6447077ce79093de63b2e7d0f88bd70fd46bf7a/js_nam.jpg,40,1,1,2,0,The Second Chance
8,CLGD,"In order to prevent the company from going bankrupt, the daughter decided to marry the son of the company's competitor",https://raw.githubusercontent.com/test2003ondev/my_library/main/21012904183304chinamillennial-8035-7852-1611982933.jpg,https://raw.githubusercontent.com/test2003ondev/my_library/main/toolxox-com-split-image%20(10).png,https://raw.githubusercontent.com/test2003ondev/my_library/main/toolxox-com-split-image%20(11).png,28,0,2,0,0,The Reluctant Bride
9,CLGD,The mother was kicked out of the house by her daughter-in-law for not cooking for her,https://i.ibb.co/X7Cc1Ft/couple-asian-traveller-happy-with-camera-sight-seeing-enjoy-moment-journey-studio-shot-white-backgro.webp,https://i.ibb.co/S3LXw14/toolxox-com-split-image-6.png,https://i.ibb.co/ChrRzHw/toolxox-com-split-image-7.png,50,0,1,0,0,The Unwelcome Guest
10,CLGD,"At the wedding, the mother discovered that her new daughter-in-law was sneaking with her husband",https://raw.githubusercontent.com/spiderdassness/anh_raw/34b6dfc0676d3366df905fc97a81ecda21ccfac0/con_dau.jpg,https://raw.githubusercontent.com/test2003ondev/my_library/main/toolxox-com-split-image%20(12).png,https://raw.githubusercontent.com/test2003ondev/my_library/main/toolxox-com-split-image%20(13).png,30,1,1,1,0,The Wedding Day Betrayal
11,CLGD,"After holding their last wedding, the two children went on a honeymoon in Paris",https://raw.githubusercontent.com/spiderdassness/anh_raw/fd2c88d0bc121694341a094b0fadf855f21306bb/paris.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/fd2c88d0bc121694341a094b0fadf855f21306bb/paris_n.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/fd2c88d0bc121694341a094b0fadf855f21306bb/paris_nam.jpg,30,2,2,2,1,Romantic Getaway
12,CLGD,"The father objected to the marriage of the child, because the father had an affair with the mother of that girl",https://raw.githubusercontent.com/spiderdassness/anh_raw/3a24098753502f82f1d6eee685235d76cf097833/0_State.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/3a24098753502f82f1d6eee685235d76cf097833/0_State_n.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/3a24098753502f82f1d6eee685235d76cf097833/0_State_a.jpg,70,1,1,2,1,The Secret Affair
13,CLGD,"Introduced to see his eyes, the guy found out that the object was the one he liked",https://img.upanh.tv/2023/08/23/Con-lap-gia-dinh-2.jpg,https://img.upanh.tv/2023/08/23/Con-lap-gia-dinh-2-nu.jpg,https://img.upanh.tv/2023/08/23/Con-lap-gia-dinh-2-nam.jpg,28,1,1,1,1,The Connection
