id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,GN,The day they met was when they both watched the drama at the neighbor's house,https://i.ibb.co/sPnySC6/360-F-134704156-j-Oe9-FP7-AVc-Qum5j-UICTb-CNdfs-CRQ32-Wd.webp,https://i.ibb.co/F8ZwzWf/toolxox-com-split-image-8.png,https://i.ibb.co/fMR1KwV/toolxox-com-split-image-9.png,27,1,1,0,0,Love Sparked by Drama
3,GN,They first met while going to a gathering with their friends.,https://i.ibb.co/WHwj0fF/dl-beatsnoop-com-thumb-1696155672.jpg,https://i.ibb.co/NTgL5Gw/toolxox-com-split-image-62.png,https://i.ibb.co/V9XsMg0/toolxox-com-split-image-63.png,25,1,1,2,0,Chance Encounter Among Friends
4,GN,"Oh my god, can you believe it? The girl went to eat noodles, met a lover again.",https://i.ibb.co/yk4ZbKF/360-F-263966329-kh-Zi-Ioa-Rlqb9-HXKh7ga-OW5-QC99j-Up-HJQ.webp,https://i.ibb.co/QQWCjnH/toolxox-com-split-image-13.png,https://i.ibb.co/N33kmKX/toolxox-com-split-image-12.png,35,4,0,1,1,Serendipitous Noodle Reunion
5,GN,The guy turned the car back immediately when he saw that his new girlfriend on the internet was different from the one in the photo.,https://i.ibb.co/x67DpDL/360-F-220770375-w-Wf-Tf6o-PCjh5-Taoc-Jf-BKmq-To-Ix56gad-S.webp,https://i.ibb.co/W2DS8s8/toolxox-com-split-image-11.png,https://i.ibb.co/jWMNh0D/toolxox-com-split-image-10.png,25,1,0,1,1,Online Dating Disaster
6,GN,"The girl who went to the cafe to run the deadline, met the man sitting next to her and also ran the deadline",https://i.ibb.co/VH45FMK/happy-tourist-couple-city-23-2147828028.webp,https://i.ibb.co/fdYrpsG/toolxox-com-split-image-6.png,https://i.ibb.co/SfhKRX3/toolxox-com-split-image-7.png,30,4,3,1,0,Deadline Partners
7,GN,"Thanks to the potholes on the road, the girl fell into the lap of a guy who was picking up bottles",https://i.ibb.co/fVR9sVb/dl-beatsnoop-com-thumb-1696155820.jpg,https://i.ibb.co/SsP73Pc/toolxox-com-split-image-65.png,https://i.ibb.co/Rg4zGNT/toolxox-com-split-image-64.png,35,4,0,1,1,Potholes That Brought Us Together
8,GN,"The girl went to the supermarket to buy too many things that she couldn't bring back, caught the guy passing by, crying loudly, and the boy brought her home.",https://i.ibb.co/jGV0QK3/portrait-beautiful-girl-sitting-sofa-dreamily-looking-camera-with-christmas-toy-hand-while-boy-leani.jpg,https://i.ibb.co/j9t05jV/toolxox-com-split-image-66.png,https://i.ibb.co/8bywS0G/toolxox-com-split-image-67.png,20,0,2,1,0,Kindness of Strangers
9,GN,"Seeing a beautiful girl crouching under the eaves of a small grocery store sheltering from the rain, the young man immediately ran into the shop to buy an umbrella, only to know that it was the owner's lover.",https://i.ibb.co/LPCFQjr/portrait-smiling-korean-couple-gray-wall-155003-3539.webp,https://i.ibb.co/NsMJzjL/toolxox-com-split-image-69.png,https://i.ibb.co/hVW0SvT/toolxox-com-split-image-68.png,27,2,0,1,1,The Girl Under the Eaves
10,GN,"On a beautiful day, the guy saw the girl's car break down in the middle of the road, the throttle to help made her car more damaged.",https://img.freepik.com/free-photo/woman-sitting-tire-man-talking-phone_23-2148270653.jpg?w=1380&t=st=1695803515~exp=1695804115~hmac=1a4fae66605166f30d3fee1bd05ad1ec7b9ac9c02493fa3f3896e1a8021b408c,https://i.ibb.co/4ZwvdVJ/toolxox-com-split-image.png,https://i.ibb.co/wyDzt18/toolxox-com-split-image-1.png,30,1,0,1,0,"Good Intentions, Bad Results"
11,GN,"The News reports the ratio of male and female imbalance is increasing, the guy is scared, has a bold decision to go to the street to meet a girl who loves her, and meets a fat girl.",https://raw.githubusercontent.com/test2003ondev/my_library/main/ndhfh.png,https://raw.githubusercontent.com/test2003ondev/my_library/main/toolxox-com-split-image%20(24).png,https://raw.githubusercontent.com/test2003ondev/my_library/main/toolxox-com-split-image%20(23).png,27,1,1,2,1,The Bold Decision
