id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,SC,"After 3 years of marriage, the couple had their first child",https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-1.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-1-1%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-1-1%20(2).png,30,1,1,0,1,Family secrets revealed
2,SC,"After 4 years together, the husband discovered that the first child was the neighbor's son",https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-2..jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-2-1%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-2-1%20(1).png,35,1,0,0,0,Childhood trauma
3,SC,"After giving birth to her first child, the husband discovered that he was infertile",https://raw.githubusercontent.com/spiderdassness/anh_raw/3d034b89f67c45a071bb0395927d7ff8b4bc6605/condau.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/3d034b89f67c45a071bb0395927d7ff8b4bc6605/condau_n.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/3d034b89f67c45a071bb0395927d7ff8b4bc6605/condau_a.png,39,1,1,2,0,Marriage breakdown
4,SC,The wife is always angry with her husband for no reason after giving birth to the first child,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-4.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-4-1%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-4-1%20(1).png,30,0,1,1,1,Parental love tested
5,SC,"While pregnant with her first child, the wife discovered that her husband had an affair and had a child of his own",https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-5.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-5-1%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-5-1%20(2).png,28,0,2,1,0,Love triangles
6,SC,The husband wants a divorce from his wife because the first child born is a girl,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-6.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-6-1%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-6-1%20(2).png,30,0,2,0,0,Family feuds
7,SC,Mother forces her son to marry a girl because she is pregnant with his first child,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-7.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-7-1%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-7-1%20(2).png,30,NULL,1,0,0,Adoption and family ties
8,SC,The wife is despised by her husband's family because she is a girl at birth,https://img.upanh.tv/2023/08/24/Con-dau-long-6.jpg,https://img.upanh.tv/2023/08/24/Con-dau-long-6-2.jpg,https://img.upanh.tv/2023/08/24/Con-dau-long-6-1.jpg,32,NULL,1,0,1,Childhood abandonment
9,SC,"After 23 years of abandoning her first child, the son returned to take revenge on the mother who abandoned him",https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-9.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-9-1%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/13/13-9-1%20(1).png,45,NULL,2,1,1,Revenge and redemption
10,SC,"Although divorced, the mother-in-law still tries to rob her first grandson",https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/1.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/1%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/1%20(1).png,30,NULL,1,0,1,Love and loss
