id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,SC2,"After giving birth to their first child, the couple decided to have another child next year",https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/5.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/5%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/5%20(1).png,30,1,1,0,0,Sibling rivalry
2,SC3,The oldest brother hates the second brother because he feels that his parents no longer love him,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/6.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/6%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/6%20(1).png,20,2,0,0,0,Oldest brother's jealousy
3,SC4,Husband was shocked when he found out that his second child was a neighbor's child.,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/4.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/4%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/4%20(1).png,35,1,0,0,0,Husband's infidelity
4,SC5,"In order to fight for the inheritance, the two brothers' families cut off ties with each other",https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/3.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/3%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/3%20(2).png,35,1,0,2,0,Family inheritance dispute
5,SC6,"In order for her second son to study abroad, the mother forced her first son to drop out of school and work part-time to earn money",https://raw.githubusercontent.com/Thang1911/Save_Image/main/14/14-5.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/14/14-5-1%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/14/14-5-1%20(2).png,30,2,0,1,1,Mother's favoritism
6,SC7,The husband wanted to have a second child but found out that he was infertile,https://raw.githubusercontent.com/Thang1911/Save_Image/main/fix%20data%20-%202/1.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/fix%20data%20-%202/1%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/fix%20data%20-%202/1%20(1).png,30,1,1,0,1,Infertility
7,SC8,"At the age of 24, the second son discovered that he was the biological son of a tycoon family",https://raw.githubusercontent.com/Thang1911/Save_Image/main/14/14-7.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/14/14-7-1%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/14/14-7-1%20(1).png,24,1,0,0,0,Biological family discovery
8,SC9,The wife feels angry because her husband forced her to have a second child because the family is too poor,https://raw.githubusercontent.com/Thang1911/Save_Image/main/fix%20data%20-%202/2.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/fix%20data%20-%202/2%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/fix%20data%20-%202/2%20(1).png,30,1,1,0,0,Wife's resentment
9,SC10,"In order for the second son to live, the eldest decided to donate a liver",https://raw.githubusercontent.com/Thang1911/Save_Image/main/14/14-9.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/14/14-9-1%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/14/14-9-1%20(1).png,35,3,0,1,1,Liver donation
10,SC11,Husband still leaves his wife to follow his mistress even though they are two people with two small children,https://raw.githubusercontent.com/Thang1911/Save_Image/main/14/14-10.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/14/14-10-1%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/14/14-10-1%20(1).png,35,1,1,0,0,Marital breakdown
