id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,TT,"On the occasion of the girl's birthday, the boy confessed to her",https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20Image%20(After)/6.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20Image%20(After)/6%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20Image%20(After)/6%20(2).png,28,2,2,0,1,Birthday love confession
2,TT,"When the two were married, the wife discovered that her best friend had confessed to her man",https://raw.githubusercontent.com/spiderdassness/anh_raw/6939541219afa32488a10864b1b4a94c56275e4c/t_t.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/6939541219afa32488a10864b1b4a94c56275e4c/t_t_nu.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/6939541219afa32488a10864b1b4a94c56275e4c/t_t_a.png,38,1,1,2,1,Betrayal of trust
3,TT,Discovered ex-lover proposed to another girl on the street,https://raw.githubusercontent.com/Thang1911/Save_Image/main/15/15-3.png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/15/15-3(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/15/15-3(2).png,30,1,1,0,0,Heartbroken on the street
4,TT,The girl was confessed to by the boy in the garbage dump.,https://raw.githubusercontent.com/Thang1911/Save_Image/main/15/15-4.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/15/15-4(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/15/15-4(2).png,28,0,2,0,1,Garbage dump confession
5,TT,The boy confessed but the girl refused because she already has someone she likes,https://raw.githubusercontent.com/Thang1911/Save_Image/main/15/15-5.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/15/15-5(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/15/15-5(2).png,28,0,1,1,0,Unrequited love
6,TT,"When he was drunk, the boy confessed his love to the girl",https://raw.githubusercontent.com/Thang1911/Save_Image/main/15/15-6.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/15/15-6(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/15/15-6(1).png,30,5,5,0,1,Drunken love confession
7,TT,The girl who regrets rejecting another guy's confession to marry is now a ghost man.,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/2.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/2%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/2%20(2).png,30,4,4,0,1,Ghost of regret
8,TT,The girl rejects the guy because he is a Luffy pirate pirate.,https://i.ibb.co/QDwzsvP/pirate-couple-posing-at-2009-fantasy-fair-arcen-netherlands-europe-BGF8-BF.jpg,https://i.ibb.co/w4Dwsr1/toolxox-com-split-image-55.png,https://i.ibb.co/Sd3zhNy/toolxox-com-split-image-54.png,30,1,0,1,1,Love lost to the sea
9,TT,"Accepted the boy's confession, but the girl's family objected because of her family background",https://raw.githubusercontent.com/Thang1911/Save_Image/main/15/15-9.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/15/15-9(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/15/15-9(2).png,28,0,1,0,0,Love forbidden by family
10,TT,"The girl cursed at the boy, for confessing there was only a flower but not a branded bag",https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/1.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/1%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20data/1%20(1).png,28,0,1,0,1,Materialistic love
