id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,CN,"The grandson saw that his grandfather had been single for a long time, so he took a wife less than 30 years old for him.",https://github.com/sonnh7289/futurelove-images/blob/main/chong-gia3.jpg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/toolxox-com-split-image%20(2).png?raw=true,https://raw.githubusercontent.com/sonnh7289/futurelove-images/main/toolxox-com-split-image%20(1).png,80,1,1,2,1,Married young wife
2,CN,"Seeing that the grandfather liked the neighbor's grandmother but did not dare to confess, the grandchild pushed the boat to help him, who expected the neighbor's grandmother to like his grandchild.",https://github.com/sonnh7289/futurelove-images/blob/main/Cu-ba-91-tuoi-co-doi-song-tinh-duc-nhu-mo-voi-ban-trai-31-tuoi-ban-trai-31-1-1543909610-894-width640height499.jpg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/31tuoi-nam.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/80-tuoi-nu.png?raw=true,31,0,0,0,0,Unespected situation
3,CN,"Hearing the good news from his son, he was deaf when he was about to have a grandchild, he lost his hearing so his wife was pregnant while the two of them had not slept together for 3 years.",https://github.com/sonnh7289/futurelove-images/blob/main/tu-the-quan-he-doggy.jpg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/toolxox-com-split-image%20(3).png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/toolxox-com-split-image%20(4).png?raw=true,45,3,3,2,0,Family mystery
4,CN,"Taking care of my grandchild for 3 years, I suddenly received an envelope of nearly 200 million VND from my daughter-in-law. I cried when I learned the truth.",https://github.com/sonnh7289/futurelove-images/blob/main/bo-anh-cu-ong-nam-tay-cu-ba-tam-bien-khien-dan-mang-nguong-mo_3.jpg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/bagia.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/onggia.png?raw=true,70,0,1,1,0,Behind the makeup
5,CN,"Grandson is not son's son, mother-in-law found out and beat daughter-in-law",https://github.com/sonnh7289/futurelove-images/blob/main/1111.jpeg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/ba1.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/ong2.png?raw=true,60,0,1,1,0,Excitement led to a blunder
6,CN,"When the daughter-in-law gave birth to a grandchild, the grandfather suddenly became greedy and wanted to return to spring, so he went to find another child outside.",https://github.com/sonnh7289/futurelove-images/blob/main/onggia-mauqua.jpg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/nua-gaitre2.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/nam-onggia1.png?raw=true,70,1,0,1,1,Excitement turned to fright.
7,CN,"The daughter-in-law was born prematurely, at that time the father-in-law was at home with his daughter-in-law, he delivered the birth to his daughter-in-law, but after that time, the father-in-law was very haunted because he saw all the parts of the daughter-in-law, on one day. beautiful weather 2 years later, father-in-law and daughter-in-law had sex",https://raw.githubusercontent.com/test2003ondev/my_library/main/song-chung-voi-me-chong-5-1496629080426.webp,https://github.com/test2003ondev/my_library/blob/main/toolxox-com-split-image%20(1).png?raw=true,https://github.com/test2003ondev/my_library/blob/main/toolxox-com-split-image.png?raw=true,60,0,1,1,1,Happiness ended in a mess
8,CN,"On the day of celebrating their 1-month-old grandchild, the daughter-in-law's best friend visited the young couple. The grandfather saw her. She was a single woman, divorced from her husband, and she wanted a relationship. During a shady sexual relationship, her father-in-law tried to contact her, resulting in her father-in-law and her having sex for a while.",https://github.com/sonnh7289/futurelove-images/blob/main/hehehehehe1.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/gai1.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/trai1.png?raw=true,30,1,1,1,1,Joy led to a hilarious mishap
9,CN,"Walking on the street, his daughter-in-law called to tell him the good news that he was about to become a grandfather, he was so happy that he speeded up the car and ended up with all his teeth.",https://github.com/sonnh7289/futurelove-images/blob/main/sssa.jpeg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/bagiamom2.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/onggia-mom1.png?raw=true,70,2,0,1,1,Happy without teeth
10,CN,"Son gives good news to grandparents who are about to be promoted, but do not know that the child is the product of his wife and father",https://github.com/sonnh7289/futurelove-images/blob/main/ukraine-chill.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/nu2.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/nam1.png?raw=true,65,1,0,1,0,Joy turns to a twist
