id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,CT,The two broke up because he helped his best friend out of loneliness by regularly 'having fun' with her.,https://github.com/sonnh7289/futurelove-images/blob/main/omnhaupro1.jpeg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/omnhaupro1-2.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/omnhaupro1-1.png?raw=true,25,0,2,1,1,Betrayal and heartbreak
2,CT,You and your significant other will break up because one of you deceived the other and had a third-party relationship.,https://github.com/sonnh7289/futurelove-images/blob/main/chiatay-haihuoc.jpg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/chiatay-pro-1.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/chiatay-pro-2.png?raw=true,30,1,0,2,0,Relationship over and trust gone
3,CT,"You and your partner broke up, because you found out your partner is the third gender",https://github.com/sonnh7289/futurelove-images/blob/main/yeuphaiBD.jpg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/yeuphaiBD-1.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/yeuphaiBD-2.png?raw=true,30,0,1,1,0,Acceptance and rejection
4,CT,The husband and wife have separated because the wife has removed her makeup.,https://github.com/sonnh7289/futurelove-images/blob/main/tocvaypro.jpg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/tocvaypro-2.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/tocvaypro-1.png?raw=true,27,0,4,1,1,Shallow and superficial.
5,CT,"You and your boyfriend will break up because he has too much money, and you don't like wealthy men. It just doesn't feel safe.",https://github.com/sonnh7289/futurelove-images/blob/main/bikinipro-hehe.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/bikinipro-hehe-1.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/bikinipro-hehe-2.png?raw=true,35,1,0,1,0,Wealth and insecurity
6,CT,The boyfriend came to visit his girlfriend and got bitten by her dog. They broke up because the boyfriend said that her dog didn't see him as family.,https://github.com/sonnh7289/futurelove-images/blob/main/nengaiomnhau.jpeg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/nengaiomnhau-1.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/nengaiomnhau-2.png?raw=true,25,1,0,1,0,Dog bite and heartbreak
7,CT,She thinks this guy always does 'silly' things to make her laugh. She likes guys with a little crazy sense of humor. But then she finds out he's really silly — not that,https://github.com/sonnh7289/futurelove-images/blob/main/benhau-vuiqua.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/benhau-vuiqua-2.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/benhau-vuiqua-1.png?raw=true,25,0,2,1,1,Expectation and reality.
8,CT,She tells you that their lifestyles don't get along because she doesn't want to be Catholic and doesn't like raising her children that way.,https://github.com/sonnh7289/futurelove-images/blob/main/chiatay-prohehe.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/chiatay-prohehe-1.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/chiatay-prohehe-2.png?raw=true,27,0,2,1,0,Lifestyle differences.
9,CT,He realizes that's not who he should marry when people fight with him every day.He listens and tries to fix it to improve the relationship but doesn't lose. That's beyond his acceptance threshold,https://github.com/sonnh7289/futurelove-images/blob/main/sexy-girl-pro.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/sexy-girl-pro-1.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/sexy-girl-pro-2.png?raw=true,25,0,1,1,0,Communication breakdown
10,CT,"He broke up with me. The reason is that my hair is thin, and his hair isn't very thick either. He's afraid that if we have children, our hair will become even thinner.",https://github.com/sonnh7289/futurelove-images/blob/main/sex-ruou-pro.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/sex-ruou-pro-2.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/sex-ruou-pro-1.png?raw=true,25,0,4,1,1,Fear and doubt.
