id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,HP,"You will be taken on a trip by your lover, and the two of you will have fun days together.",https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/hp1.jpg,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp1nu.png,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp1nam.png,27,2,2,2,1,A Journey of Love
2,HP,"You will be taken by your partner to meet their family, to ask for permission to marry you.",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/hp5.jpg,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp5nu.png,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp5nam.png,36,1,1,2,1,Meeting the In-Laws
3,HP,"You will be given gifts by your lover, not on the occasion of a holiday at all",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/hp3.jpg,https://i.ibb.co/GMkRzFV/toolxox-com-split-image-33.png,https://i.ibb.co/JCn3YnC/toolxox-com-split-image-34.png,25,1,1,1,0,The Perfect Gift
4,HP,He will give you a Rolls-Royce car as a birthday present.,https://img.upanh.tv/2023/08/23/Hanh-phuc-1.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-1-nu.jpg,https://img.upanh.tv/2023/08/23/Hanh-phuc-1-nam.jpg,32,1,1,1,0,Rolls-Royce Gift
5,HP,You will receive a surprise gift from your significant other. Your family will have a new baby.,https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/hp8.jpg,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp8nu.png,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp8nam.png,35,1,1,2,1,The Best Surprise Ever
6,HP,"Three years later, you two will be able to buy a villa.",https://i.ibb.co/z87gCs0/smiling-young-asian-couple-standing-hugging-indoors-1098-17723.webp,https://i.ibb.co/2tgGt9Z/toolxox-com-split-image-11.png,https://i.ibb.co/t27s4yM/toolxox-com-split-image-10.png,30,3,3,2,1,The Villa Dream
7,HP,"In 3 years, you will become a billionaire.",https://i.ibb.co/vZtpJPB/360-F-610373794-Qd-UPKIOUTFZ60-ZEEws-Vjl-QZv-WZEX8a-O0.webp,https://i.ibb.co/N2Q80tT/toolxox-com-split-image-15.png,https://i.ibb.co/jzvMnv8/toolxox-com-split-image-14.png,39,1,0,1,1,Billionaire Dream
8,HP,"After 1 year of being in a relationship, you will be fattened up by your significant other by 10 kg.",https://i.ibb.co/ck2wHkT/overweight-238731.jpg,https://i.ibb.co/S6jQJD7/toolxox-com-split-image-10.png,https://i.ibb.co/59xdf1v/toolxox-com-split-image-11.png,30,0,1,1,0,The Weight of Love
9,HP,"At the age of 30, the husband will take his family on a world tour using his own airplane.",https://i.ibb.co/LCNFnq6/portrait-happy-family-with-little-child-looking-camera-isolated-186202-6369.webp,https://i.ibb.co/TTc0WQ3/toolxox-com-split-image-12.png,https://i.ibb.co/7KzBJGZ/toolxox-com-split-image-13.png,50,1,1,2,0,A Family Adventure
10,HP,"At 37 years old, the husband and wife both became a nationally famous acting couple.",https://i.ibb.co/wgXT8PN/loving-couple-cheerfullly-smiling-holding-milkshakes-1098-18982.webp,https://i.ibb.co/S5ThPff/toolxox-com-split-image-14.png,https://i.ibb.co/DCtTZwL/toolxox-com-split-image-15.png,42,1,1,2,1,The Dream Team
11,HP,"After discovering her husband's affair with his ex-girlfriend, the wife went to the ex-girlfriend's house to confront her and even resorted to cutting her hair and physically assaulting her.",https://i.ibb.co/Mn6VLNW/smiling-beautiful-girl-her-handsome-boyfriend-casual-summer-clothes-158538-5411.webp,https://i.ibb.co/2ynDqVL/toolxox-com-split-image-74.png,https://i.ibb.co/vz282JY/toolxox-com-split-image-75.png,33,,2,0,0,A Woman Scorned
12,HP,"After getting married, the husband and wife inherited a large amount of assets from the husband's stepfather.",https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/hp16.jpg,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp16nu.png,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/hp16nam.png,40,1,1,2,1,Blessed with Inheritance
13,HP,"At the age of 60, they were happy to have their 3 children all grown up and successful.",https://raw.githubusercontent.com/spiderdassness/anh_raw/main/HP.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/HPn.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/HPa.jpg,60,3,3,1,1,60 and Blessed with Successful Children
14,HP,His greatest joy is waking up every morning to see his ugly wife preparing breakfast.,https://i.ibb.co/Zmbz1bp/portrait-happy-young-couple-1098-21780.webp,https://i.ibb.co/DffDrKB/toolxox-com-split-image-16.png,https://i.ibb.co/YX7PxHJ/toolxox-com-split-image-17.png,30,1,1,0,0,Morning Bliss with His Beloved Wife
