id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,KH,"On a fine day, you get good news. The couple had 1 baby and decided to get married. After 1 year together, you suddenly realize that the child is not yours",https://i.ibb.co/dpyLQBz/bloga.jpg,https://i.ibb.co/CWGxmDc/toolxox-com-split-image-17.png,https://i.ibb.co/h2BSdPs/toolxox-com-split-image-16.png,30,1,0,1,1,A Shocking Twist
2,KH,"You and she are prevented by your family from coming together. You are forced to marry someone else. For 6 months of marriage, you could not forget about her and had an affair with her",https://i.ibb.co/x6b4Qjw/6197438857-e3694ffcf3-c.jpg,https://i.ibb.co/Qj9Wqhd/toolxox-com-split-image-9.png,https://i.ibb.co/yBYwgYJ/toolxox-com-split-image-8.png,25,1,1,0,1,Star-Crossed Love
3,KH,"You two are married, and one day you are walking down the street to find out he is a third sex, he has been hiding from you for so long",https://img.upanh.tv/2023/08/24/Ket-hon-1.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-1-nu.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-1-nam.jpg,27,1,1,2,0,Revelation of a Hidden Truth
4,KH,What happens to you after marriage? You find out he has been having an affair with your best friend. You're glad there was a reason to break up because you're having an affair too.,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/ngoai-tinh.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/48.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/49.jpg,25,1,1,2,0,Marriage Betrayals
5,KH,"One year after dating, they decided to get married. However, on their wedding night, the husband suddenly felt a strong, uncomfortable odor around him. When he kept asking, the bride finally shyly admitted that she had an issue with body odor.",https://i.ibb.co/LrSDqbx/44927465114-5ed6d5fb56-b.jpg,https://i.ibb.co/f93Wckh/toolxox-com-split-image-11.png,https://i.ibb.co/hmHG95H/toolxox-com-split-image-10.png,33,1,1,2,1,Scented Surprise on Wedding Night
6,KH,"The husband and wife were prevented from being together by their families, and the husband was forced to marry someone else. After 6 months of marriage, the husband realized he still loved his ex-wife and had an affair with her.",https://i.ibb.co/zF2zFcn/360-F-602544451-jn-Me-Vw-Gppb-Md-Zr5-I2a-FA2-QVSua-Bp-OKpo.webp,https://i.ibb.co/gDx26Lg/toolxox-com-split-image-23.png,https://i.ibb.co/L8VtvYL/toolxox-com-split-image-22.png,30,1,1,0,1,Forbidden Love Rekindled
7,KH,"On the day of the wedding of the two, the husband met his ex-girlfriend again and developed feelings for her. In the first month of their marriage, the husband secretly contacted his ex-girlfriend.",https://i.ibb.co/1KJsXNk/202101190318463699-80b98552-8a2b-4b05-9252-777fb9002f74.jpg,https://i.ibb.co/xqTmgJY/toolxox-com-split-image-62.png,https://i.ibb.co/yBV24j7/toolxox-com-split-image-63.png,26,1,1,2,0,Marriage's First Challenge
8,KH,"On the wedding day of the couple, the husband had a traffic accident on the way to pick up his wife, was hospitalized, and the wedding ceremony was postponed.",https://i.ibb.co/qsdFhkF/dan-ong-hau-ly-hon-cai-gia-331618278523.jpg,https://i.ibb.co/GQHJgyG/toolxox-com-split-image-39.png,https://i.ibb.co/2yMNcPH/toolxox-com-split-image-38.png,40,2,2,0,1,Love Amidst Adversity
9,KH,"One month after getting married, the husband hit his wife because she didn't do housework.",https://i.ibb.co/8c3nH1H/cang-thang-vo-chong-1672325881190706436555-0-0-480-768-crop-16723258972702135711323.jpg,https://i.ibb.co/HNPHGgL/toolxox-com-split-image-36.png,https://i.ibb.co/L9nQx4D/toolxox-com-split-image-37.png,32,1,1,0,0,Troubled Beginnings
10,KH,"One week after getting married, the husband lost his memory, forgot his wife, and asked for a divorce. The husband only remembered his ex-girlfriend.",https://i.ibb.co/L803xSK/360-F-585222797-f-IFn-HX93-SYdg8-Ec-Sr2-JJd-Gs-Iwz-Lznn-YY.webp,https://i.ibb.co/wrmw9fn/toolxox-com-split-image-21.png,https://i.ibb.co/7tM9fvQ/toolxox-com-split-image-20.png,42,2,2,2,1,The Husband's Forgotten Vows
11,KH,The wife secretly had an affair with the neighbor because her husband had erectile dysfunction.,https://i.ibb.co/mG0JmdB/ta-i-xu-ng.jpg,https://i.ibb.co/1rgsmJC/toolxox-com-split-image-19.png,https://i.ibb.co/MSTXv8f/toolxox-com-split-image-18.png,30,2,2,0,1,Secrets and Frustrations
12,KH,"After 2 years of marriage, the couple went bankrupt because the husband spent all the money on entertainment and girls.",https://i.ibb.co/C1twMtP/portrait-smiling-korean-couple-gray-studio-155003-17247.webp,https://i.ibb.co/86q7mGV/toolxox-com-split-image-27.png,https://i.ibb.co/8BSxPPR/toolxox-com-split-image-26.png,31,1,1,2,1,Secret Desire
13,KH,"The couple had a child, and the husband brought his wife home to introduce her to the family, but they were rejected because the family only liked the husband's ex-girlfriend.",https://i.ibb.co/wNbGX7c/7-divorce-mistakes-header.jpg,https://i.ibb.co/tz3v9hB/toolxox-com-split-image-39.png,https://i.ibb.co/8071hCm/toolxox-com-split-image-38.png,35,0,2,0,1,Struggles with Family Acceptance
14,KH,"After one week of marriage, the wife asked for a divorce upon discovering that her husband had a child with his ex-girlfriend.",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/its-time-to-divorce.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/65.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/66.jpg,27,1,1,2,0,Marriage's Shocking Revelation
15,KH,"At 45 years old, the couple's son will marry the ex-girlfriend of the husband and the three of them will live together under one roof.",https://i.ibb.co/KyQ823z/edna-457847.jpg,https://i.ibb.co/HpCZjD4/toolxox-com-split-image-22.png,https://i.ibb.co/B6H0J9R/toolxox-com-split-image-23.png,43,2,2,2,0,A Twist of Fate
16,KH,"At 46 years old, one year after their son married his ex-girlfriend and had a child, the wife discovered that the child was actually her husband's.",https://www.yesandyes.org/wp-content/uploads/2018/02/older-than-husband.jpg,https://i.ibb.co/QFzhJn6/toolxox-com-split-image-25.png,https://i.ibb.co/WtLxhgs/toolxox-com-split-image-24.png,23,2,2,0,1,A Surprise Paternity
17,KH,"At 46 years old, one year after their son married his ex-girlfriend and had a child, the wife discovered that the child was actually her husband's.",https://www.mathematik.uni-muenchen.de/~gerkmann/stexaufg/aufg/aufg_1972_2003.pdf,https://img.upanh.tv/2023/08/24/Ket-hon-10-nu.jpg,https://img.upanh.tv/2023/08/24/Ket-hon-10-nam.jpg,23,2,2,0,1,A Surprise Paternity
18,KH,The couple got married for a month before they knew they were cousins.,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/Sam.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/Sam-nu.jpg,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/Sam-man.jpg,30,1,1,2,0,Love Beyond Family Ties
19,KH,Every day the husband comes home late because he does not want to hear the grumbling words of the lion female.,https://i.ibb.co/JdXd7K7/Couple-hugging-each-other.webp,https://i.ibb.co/QpxJW0G/toolxox-com-split-image-7.png,https://i.ibb.co/hm6Ffg3/toolxox-com-split-image-6.png,35,2,2,1,1,Avoiding the Lioness
20,KH,"Married for 1 year, the wife became ugly because her husband used a lot to wear out her beauty.",https://i.ibb.co/NpQQ3vC/shutterstock-1183796062.jpg,https://i.ibb.co/QF2dqKm/toolxox-com-split-image-32.png,https://i.ibb.co/Njcp9Qg/toolxox-com-split-image-33.png,35,1,0,0,0,The Toll of Marriage
21,KH,"After receiving his salary, the young man hurriedly stopped by the shop to make a few beers for him, or didn't come home, there was a lioness waiting.",https://i.ibb.co/zfNckjy/360-F-631343731-WFw-Aousl2v-Wf74-Zcx-J5c-FT3-EU6-Qc-Q9yr.webp,https://i.ibb.co/DpWvcdz/toolxox-com-split-image-25.png,https://i.ibb.co/bXC7BwK/toolxox-com-split-image-24.png,35,1,1,0,1,A Lioness Waits at Home
22,KH,The boy was surprised to learn that the two children he raised for 8 years were not his own.,https://i.ibb.co/4m5v3KV/didnt-marry-love-my-life.webp,https://i.ibb.co/pWPspdy/toolxox-com-split-image-27.png,https://i.ibb.co/M5CKYFy/toolxox-com-split-image-26.png,45,1,0,0,1,A Father's Identity Unraveled
23,KH,"Married for 10 years, the husband was surprised to learn that he was infertile and had 3 children.",https://i.ibb.co/zxNN2R4/traveler-asian-backpacker-couple-feeling-happy-traveling-beijing-china-7861-1390.webp,https://i.ibb.co/Np85DW5/toolxox-com-split-image-29.png,https://i.ibb.co/7Vb2hct/toolxox-com-split-image-28.png,45,0,0,0,1,10 Years of Unknowing Parenthood
24,KH,The girl was returned in the night when her husband saw her bare face.,https://i.ibb.co/BGBLrfc/NINTCHDBPICT000483864811.webp,https://i.ibb.co/c3h3x8h/toolxox-com-split-image-28.png,https://i.ibb.co/jf58PZM/toolxox-com-split-image-29.png,30,0,1,0,0,Secret She Kept
25,KH,The wife was surprised to learn that her husband's lover was her best friend.,https://i.ibb.co/K7X1xdc/the-wife-is-feeling-upset-and-the-husband-is-playing-the-game-photo.jpg,https://i.ibb.co/tBZ1Tyr/toolxox-com-split-image-30.png,https://i.ibb.co/Bz8SmqK/toolxox-com-split-image-31.png,30,0,1,1,0,Painful Truth
