id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,LH,"After 3 years of marriage, the husband and wife divorced because the husband had erectile dysfunction.",https://img.upanh.tv/2023/08/24/Ly-hon-1.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-1-nu.jpg,https://img.upanh.tv/2023/08/24/Ly-hon-1-nam.jpg,29,5,5,0,1,The Marriage That Couldn't Survive
2,LH,What happens after you two get married? The two of you will soon break up because your male friend is addicted to alcohol and drugs,https://i.ibb.co/mRks9cS/spouse-drug-addiction-300x200.jpg,https://i.ibb.co/tz0djBy/toolxox-com-split-image-34.png,https://i.ibb.co/R6GvTDt/toolxox-com-split-image-35.png,23,0,1,1,0,Battling Addiction and Heartbreak
3,LH,"After visiting the hospital for a check-up, the husband discovered that he was infertile, but his wife had a child. So, whose child is it?",https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/vo_sinh_nam.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/74.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/73.jpg,34,1,1,2,1,Secret Child
4,LH,"After 2 years of marriage, the husband and wife divorced because the wife went to her husband's company to physically attack him out of jealousy, which impaired his mental well-being.",https://i.ibb.co/K9spfpj/ntdvn-vo-chong-cai-nhau.jpg,https://i.ibb.co/LhZqDdf/toolxox-com-split-image-40.png,https://i.ibb.co/RbbzGMT/toolxox-com-split-image-41.png,32,1,0,1,0,A Marriage Marred by Jealousy
5,LH,"After 2 years of marriage, the husband and wife divorced because the husband discovered that his wife had been having an affair with his brother and that their current child was not his own.",https://i.ibb.co/h76kYFr/cach-trinh-bay-nguyen-nhan-ly-hon-hop-phap-1.jpg,https://i.ibb.co/Dzm7QSk/toolxox-com-split-image-13.png,https://i.ibb.co/ck8YXxm/toolxox-com-split-image-12.png,27,0,1,0,1,The Truth That Shattered a Marriage
6,LH,"After 1 year of marriage, the wife discovered that her husband was having an affair with her sister behind her back.",https://i.ibb.co/FmkG0cd/360-F-522626954-5-G0-HPef-Nmq-J3wv33-M26v-K8c-EXw-Lhv-Agy.webp,https://i.ibb.co/zJNyJp7/toolxox-com-split-image-27.png,https://i.ibb.co/ZdXTdWc/toolxox-com-split-image-26.png,35,0,2,0,1,Sisterly Love or Unholy Lust?
7,LH,"After 1 month of marriage, the wife requested a divorce because she found out that her husband was bisexual and had cheated on her with another man.",https://i.ibb.co/ByTFF8n/Thiet-ke-chua-co-ten-1.jpg,https://i.ibb.co/bgqN2LS/toolxox-com-split-image-14.png,https://i.ibb.co/S6vy9m9/toolxox-com-split-image-15.png,34,2,0,1,0,A Marriage Ends in Discovery
8,LH,The husband decided to divorce his beautiful wife after discovering her deceit. She had never told him about her extensive plastic surgery to look as beautiful as she did.,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/upset-chinese-man-woman-having-quarrel-kitchen-middle-aged-young-looking-opposite-sides-husband-wife-thinking-divorce-255720116.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/79.jpg,https://raw.githubusercontent.com/ducmanhnguyen1308/-nh-cho-future-love/main/80.jpg,30,2,2,2,0,Deceptive Beauty
9,LH,"After 1 week of marriage, the wife decided to divorce because she discovered that her husband was not as wealthy an heir as she had thought.",https://i.ibb.co/qyf9z0Y/is-divorce-the-right-answer-15-questions-couples-should-ask2-scaled.jpg,https://i.ibb.co/PZ0ZL5b/toolxox-com-split-image-39.png,https://i.ibb.co/MpL38MP/toolxox-com-split-image-38.png,31,0,1,1,1,The Marriage Unraveled
10,LH,"The husband discovered that his wife had been deceiving him for many years. When they first started dating, she had claimed to be 24 years old, but in reality, she was 34 years old.",https://i.ibb.co/Hh3VhyH/ta-i-xu-ng-1.jpg,https://i.ibb.co/4jLdCjx/toolxox-com-split-image-40.png,https://i.ibb.co/4mnT79r/toolxox-com-split-image-41.png,33,2,2,1,0,Deceitful Love
11,LH,"The husband requested a divorce because his wife was too violent. The wife found out that her husband was having an affair, so she grabbed a knife and hired someone to beat up the other woman.",https://i.ibb.co/yn5XVdk/happy-parents-looking-each-other-23-2148252492.webp,https://i.ibb.co/Wx5xzJq/toolxox-com-split-image-77.png,https://i.ibb.co/T1MCM8Y/toolxox-com-split-image-76.png,29,2,2,2,1,Love's Dark Tangle
12,LH,"After one month of marriage, the husband requested a divorce because his wife was too dirty. She only took a bath and washed her hair once a week.",https://i.ibb.co/6y9b61x/shutterstock-613853558.webp,https://i.ibb.co/k2Drwhm/toolxox-com-split-image-43.png,https://i.ibb.co/X29DR2W/toolxox-com-split-image-42.png,33,3,0,1,1,A Soiled Marriage
13,LH,"After their wedding night, the husband requested a divorce because he couldn't accept that his wife was no longer a virgin.",https://i.ibb.co/87mJ7xQ/My-Wife-Cheated-On-Me-And-I-Want-A-Divorce-1024x683.jpg,https://i.ibb.co/n1Y2MPM/toolxox-com-split-image-45.png,https://i.ibb.co/mRZL9vg/toolxox-com-split-image-44.png,22,0,2,1,1,A Marriage Misconception
14,LH,"On their wedding night, the wife was extremely upset when she heard her newlywed husband call her the wrong name, another woman's name. The next day, she demanded a divorce.",https://i.ibb.co/tMFrbtV/images-1.jpg,https://i.ibb.co/JpWrZNj/toolxox-com-split-image-47.png,https://i.ibb.co/55vLGXX/toolxox-com-split-image-46.png,34,1,1,1,1,Wedding Night That Ended in Divorce
15,LH,"The husband insisted on divorcing because the shaman said that his wife was a demon who had bewitched him, always made trouble, and took his money.",https://i.ibb.co/dtfgGxm/360-F-456376643-W33-Gi-Tl-Jjd0-Pe-Pfg-WQZJqp-Ote-R7-Ed-NJU.png,https://i.ibb.co/mcSm4qK/toolxox-com-split-image-29.png,https://i.ibb.co/dtnMk22/toolxox-com-split-image-28.png,25,1,1,2,1,Power of Superstition
16,LH,"How will the two of you be at 70 years old? The husband has taken another wife, and there are 3 people living together under the same roof.",https://i.ibb.co/cydS7Zg/Phu-Nu-Noi-Nhieu.jpg,https://i.ibb.co/cwWvRD1/toolxox-com-split-image-16.png,https://i.ibb.co/PWvSZg6/toolxox-com-split-image-17.png,70,1,1,2,0,Future of Polygamy
17,LH,"Divorce because of being abandoned by their children, each has their own way.",https://i.ibb.co/02zGNND/couple-sitting-on-couch-having-argument.jpg,https://i.ibb.co/XxMz3YH/toolxox-com-split-image-48.png,https://i.ibb.co/6yfNT5C/toolxox-com-split-image-49.png,70,2,0,1,0,The Road Less Traveled
18,LH,"At the age of 60, the husband proposed a divorce because his wife refused to brush her teeth and her breath was too bad to bear.",https://i.ibb.co/m0Ddgy3/travellers-london-city-with-atumn-vibes-23-2149104692.jpg,https://i.ibb.co/41rbVCB/toolxox-com-split-image-32.png,https://i.ibb.co/yQyrMz3/toolxox-com-split-image-33.png,60,1,1,0,0,Too Much to Bear
19,LH,"At the age of 60, the husband refused to die and his wife put poison in the food. After finding out her husband asked for a divorce.",https://i.ibb.co/jLHWcdw/360-F-612975420-j-CLn-Yhb-HZ5x-F3-Ah-LKABo-Bb-GZx-IWN0m-Md.webp,https://i.ibb.co/k3sHwpb/toolxox-com-split-image-17.png,https://i.ibb.co/gvmgtsh/toolxox-com-split-image-16.png,60,1,0,0,1,A Marriage in Ruins
