id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,MM,"when she was about to take the last step, she told him to stop because she ran out of condoms",https://i.ibb.co/88YH9pX/360-F-324535675-XXKmj5f1-YWi-YHU10-Jp-ML5-SMcd-Ysg6l2-U.webp,https://i.ibb.co/SxYkrMr/toolxox-com-split-image-18.png,https://i.ibb.co/jhCGqCj/toolxox-com-split-image-19.png,25,1,1,0,0,No backup condom
2,MM,He only got 2 minutes,https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/blogs/11904/images/bcb3205-142f-7a50-838-1d10311573d_How_do_we_fix_our_boring_marriage.png,https://i.ibb.co/chRTvFs/toolxox-com-split-image-40.png,https://i.ibb.co/7rtm7w8/toolxox-com-split-image-41.png,26,1,1,1,0,Time problem
3,MM,She discovered his inability to achieve an erection,https://i.ibb.co/vDQwSTc/van-de-hon-nhan-vo-chong-hanh-phuc-se-vuot-qua-2-0718.jpg,https://i.ibb.co/5TZL6MN/toolxox-com-split-image-22.png,https://i.ibb.co/rsS8JcY/toolxox-com-split-image-23.png,27,1,1,0,0,Can't get erection
4,MM,His is only 10 cm,https://img.upanh.tv/2023/08/24/May-mua-4.jpg,https://img.upanh.tv/2023/08/24/May-mua-4-nu.jpg,https://img.upanh.tv/2023/08/24/May-mua-4-nam.jpg,27,1,1,0,1,Short pen
5,MM,"His bed technique is so bad, and the girl breaks up with him",https://www.divorcemag.com/wp-content/uploads/2015/12/its-time-to-divorce.jpg,https://i.ibb.co/5rhMB6c/toolxox-com-split-image-42.png,https://i.ibb.co/nbvMJWk/toolxox-com-split-image-43.png,32,3,3,1,0,Breakup because of technique
6,MM,He was forced to stop because her reaction was like a dead fish,https://www.stgeorgeutah.com/wp-content/uploads/2015/10/relationship-connection-wife-hates-sisters-in-law-340x191.jpg,https://i.ibb.co/tXKVQCP/toolxox-com-split-image-44.png,https://i.ibb.co/749T2jR/toolxox-com-split-image-45.png,27,1,1,1,0,Worst reaction
7,MM,He can't get an erection when he looks at her face,https://i.dailymail.co.uk/1s/2021/02/14/05/39266296-9258629-image-a-20_1613279964726.jpg,https://i.ibb.co/Fq6PLV5/toolxox-com-split-image-47.png,https://i.ibb.co/zVKTNCg/toolxox-com-split-image-46.png,29,1,1,1,1,Erection problem
8,MM,"When the two were having sex, his boss called and told him to come to the company",https://i.ibb.co/ngY66gv/happily-young-couple-raise-up-arms-make-heart-shape-1150-15465.webp,https://i.ibb.co/KX3yKvN/toolxox-com-split-image-35.png,https://i.ibb.co/LJp2Ng3/toolxox-com-split-image-34.png,28,1,1,0,1,Emergency call from boss
9,MM,"When he was about to have sex, he admitted that he was gay",https://i.ibb.co/kcMH34v/asian-young-couple-sitting-bed-wearing-headphones-listening-music-dance-with-happily-1150-15479.webp,https://i.ibb.co/qMgh5HW/toolxox-com-split-image-36.png,https://i.ibb.co/dBnsdZb/toolxox-com-split-image-37.png,25,1,1,1,0,Real gender
10,MM,"While the two abc, a man came in and said to him: Why did you betray me?",https://github.com/sonnh7289/futurelove-images/blob/main/sexprohehehe.jpeg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/sexprohehehe2.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/sexprohehehe1.png?raw=true,24,1,1,2,1,Are you cheating?
11,MM,"After doing 2 rounds, he couldn't continue. This made her angry",https://themommabird.com/wp-content/uploads/2019/05/6.jpg,https://i.ibb.co/f8ZvhrD/toolxox-com-split-image-49.png,https://i.ibb.co/yFVbS4f/toolxox-com-split-image-48.png,23,1,1,1,1,Angry because can't satisfy
12,MM,"The two broke up, after discovering that: Last night when they were about to have sex, they realized they didn't have feelings for each other.",https://github.com/duongbang093/futureLove2/blob/main/maymua/sk12.png?raw=true,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk12-nu.png?raw=true,https://github.com/duongbang093/futureLove2/blob/main/maymua/sk12-nam.png?raw=true,22,1,1,2,0,True feeling
13,MM,"During sex, she called her ex's name",https://cen.com.kh/wp-content/uploads/2022/10/love20-16.jpg,https://i.ibb.co/hH0nVnt/toolxox-com-split-image-51.png,https://i.ibb.co/n3wMG4k/toolxox-com-split-image-50.png,31,1,1,1,1,Call ex's name when have sex
