id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,MS,"Because he still loved his ex-girlfriend, the husband gave her all his money, house, and car. After his wife found out, her family became homeless.",https://i.ibb.co/chmyWFx/dl-beatsnoop-com-low-1695713641.jpg,https://i.ibb.co/n8sVnQq/toolxox-com-split-image-71.png,https://i.ibb.co/vJdj2Lw/toolxox-com-split-image-70.png,45,5,5,0,1,ruins family because of ex
2,MS,"Your husband loves to shop, but your family goes bankrupt, you become homeless",https://i.ibb.co/0hkgmjL/waist-portrait-view-travel-couple-260nw-2079869398.png,https://i.ibb.co/7jwr5N4/toolxox-com-split-image-39.png,https://i.ibb.co/WsdYcqP/toolxox-com-split-image-38.png,35,5,5,0,1,bankrupts family cause of shoppingholic
3,MS,You will be jailed in jail for drug use,https://raw.githubusercontent.com/Thang1911/Save_Image/main/10/1.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/10/1%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/10/1%20(2).png,35,2,2,1,0,Drug use leads to jail time.
4,MS,You will become the owner of a 5-star hotel chain,https://raw.githubusercontent.com/Thang1911/Save_Image/main/10/2.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/10/2-1%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/10/2-1%20(2).png,40,2,1,1,1,"Hotel chain owner, wealthy husband."
5,MS,"One morning, after waking up, the husband was very surprised that he had won the lottery and become wealthy.",https://www.kark.com/wp-content/uploads/sites/85/2022/08/2-Million-Winner.jpg,https://i.ibb.co/PzhhxY6/toolxox-com-split-image-74.png,https://i.ibb.co/t42VGCC/toolxox-com-split-image-75.png,50,1,2,2,0,"Lottery win, husband becomes wealthy."
6,MS,"At the age of 45, the husband will become wealthy because his wife is the daughter of a billionaire.",https://images.law.com/contrib/content/uploads/sites/399/2019/08/Money-shower-Article-201908211604.jpg,https://i.ibb.co/9hkGWv2/toolxox-com-split-image-77.png,https://i.ibb.co/0nzsjhX/toolxox-com-split-image-76.png,45,5,5,2,1,Wealthy husband because of wife
7,MS,"At the age of 50, your husband will become the president of the country and you will be spoiled for choice.",https://s.abcnews.com/images/Politics/rtr_melania_trump_donald_jc_160224_16x9_1600.jpg,https://i.ibb.co/tKKtpxH/toolxox-com-split-image-79.png,https://i.ibb.co/TYgRJKj/ta-i-xu-ng-2.png,50,2,2,1,1,Spoiled for choice at 50
8,MS,"At the age of 35, the husband will be bought a car by his wife's family.",https://i.ibb.co/SyJG0z7/1222.png,https://i.ibb.co/hftnwLY/toolxox-com-split-image-80.png,https://i.ibb.co/DYR64VL/toolxox-com-split-image-81.png,35,0,2,2,0,Car gift for wife's family
9,MS,"At the age of 29, your family will have to beg for a living because the husband has sold the house for gambling.",https://thumbs.dreamstime.com/b/brother-younger-sisters-13655451.jpg,https://i.ibb.co/Q8vyJnG/toolxox-com-split-image-82.png,https://i.ibb.co/6B90nXR/toolxox-com-split-image-83.png,29,5,5,0,0,Gambling addiction.
10,MS,"At the age of 50, your family will have to sell the house to pay for the husband's medical treatment due to his frequent alcohol consumption.",https://i.ibb.co/tspKXrF/360-F-624553142-UMCsx-O5w2i-Uuj60kkn-PHYqdg1ld-Gk9-W6.webp,https://i.ibb.co/0M0SRh2/toolxox-com-split-image-41.png,https://i.ibb.co/dLKLd1G/toolxox-com-split-image-40.png,50,5,5,0,1,"Alcoholism, family hardship"
11,MS,"At the age of 45, you have bought a villa and a luxury car.",https://raw.githubusercontent.com/Thang1911/Save_Image/main/10/3.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/10/3%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/10/3%20(1).png,45,1,1,1,1,"Success at 45,"
12,MS,The house you can afford to buy at 30? It's an apartment,https://i.ibb.co/3SV5DDr/360-F-524199378-MGYSStq6j-EYCir5-Jn-ZAl-Qji-Zxi-V5z-Bi-B.webp,https://i.ibb.co/wW5TgG8/toolxox-com-split-image-24.png,https://i.ibb.co/WFhDsW4/toolxox-com-split-image-25.png,30,1,1,0,0,"Affordable apartment, 30 years old."
13,MS,The car you can afford to buy at the age of 30? It's a bicycle that belongs to both of you.,https://i.ibb.co/997JPdz/360-F-93432896-xir3s-V2-CQYd9-Kmr-Yg56t-Lg-U5-I3qf-Gyz3.webp,https://i.ibb.co/wzT5gJB/toolxox-com-split-image-22.png,https://i.ibb.co/M29X9Fw/toolxox-com-split-image-23.png,30,5,5,0,0,"Affordable bicycle, couple."
