id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,NYM,"One week after breaking up, at her wedding, you caught a glimpse of her older sister. And both of you fell in love after that wedding.",https://img.upanh.tv/2023/09/06/Nguoiyeumoi1.png,https://img.upanh.tv/2023/09/07/toolxox-com-split-image-1.png,https://img.upanh.tv/2023/09/07/toolxox-com-split-image.png,27,1,1,2,1,Sister catches your eye.
2,NYM,What will you be like after 3 years of breaking up? Will you have to get back with your ex because you couldn't pay off all your debts to them?,https://img.upanh.tv/2023/09/06/Nguoiyeumoi2.jpg,https://img.upanh.tv/2023/09/07/toolxox-com-split-image-2.png,https://img.upanh.tv/2023/09/07/toolxox-com-split-image-3.png,27,5,5,0,0,Debts force you back.
3,NYM,"You will have a new lover at your ex-girlfriend's wedding, and that will be her best friend.",https://img.upanh.tv/2023/09/06/Nguoiyeumoi3.jpg,https://img.upanh.tv/2023/09/07/toolxox-com-split-image-5.png,https://img.upanh.tv/2023/09/07/toolxox-com-split-image-4.png,25,5,5,0,1,Lover at ex-girlfriend's wedding.
4,NYM,The wife discovered that her husband had proposed to break up with his ex-girlfriend because her family was too poor. He had fallen in love with his wife because of material possessions.,https://raw.githubusercontent.com/Thang1911/Save_Image/main/12/12-4.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/12/12-4-1%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/12/12-4-1%20(1).png,30,,2,1,1,Husband broke up for money.
5,NYM,"At the age of 35, the husband and wife will reunite and proceed to marriage.",https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/nym1.jpg,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/nym2nu.png,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/nym1nam.png,35,2,2,2,1,Couple reunites at 35.
6,NYM,"At the age of 40, the wife returned to her husband because at that time he was a wealthy heir.",https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20Image%20(After)/1.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20Image%20(After)/1%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20Image%20(After)/1%20(2).png,40,,3,1,0,Wife returns for wealth.
7,NYM,"After the breakup, the husband returned to his ex-girlfriend because she was more beautiful than his wife.",https://raw.githubusercontent.com/Thang1911/Save_Image/main/12/12-7.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/12/12-7-1%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/12/12-7-1%20(2).png,30,5,5,0,1,Husband returns to ex.
8,NYM,"At 50 years old, how will the two of you be? The husband already has a new girlfriend, who is a famous singer.",https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20Image%20(After)/10.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20Image%20(After)/10%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20Image%20(After)/10%20(2).png,50,1,0,1,0,Husband has new gf at 50.
9,NYM,"At 30 years old, who will be in your family? The family consists of 7 people: the husband, the wife, and 5 children.",https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20Image%20(After)/12.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20Image%20(After)/12%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20Image%20(After)/12%20(2).png,30,5,5,0,1,Family of 7 at 30
10,NYM,"After the husband and wife broke up, the husband fell in love with his best friend and they got married. After a year, they broke up because the husband realized he still loved his ex-wife.",https://raw.githubusercontent.com/thuykieu06012002/futurelove/main/nym3.jpg,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/nym3nu.png,https://raw.githubusercontent.com/thuykieu06012002/cutimage/main/nym3nam.png,40,4,4,2,1,Still love ex-wife
11,NYM,"After breaking up, the husband discovered that he was the third sex. Husband and husband's best friend fell in love",https://img.upanh.tv/2023/09/06/Nguoiyeumoi8.webp,https://img.upanh.tv/2023/08/24/Ngui-yeu-mi-5-1.jpg,https://img.upanh.tv/2023/08/24/Ngui-yeu-mi-5-2.jpg,45,1,0,1,0,In love with best friend after breakup
12,NYM,"One week after breaking up with his wife, the husband started dating his teacher who is 20 years older than him.",https://raw.githubusercontent.com/spiderdassness/anh_raw/main/nym.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/nym_nu.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/nym_nam.png,40,1,1,0,0,Old lady love
13,NYM,"After 2 weeks of breaking up, the wife was proposed by the husband's older brother. The wife and the older brother got married and lived together under the same roof.",https://raw.githubusercontent.com/spiderdassness/anh_raw/main/nym1.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/nym1_nu.png,https://raw.githubusercontent.com/spiderdassness/anh_raw/main/nym1_nam.png,35,1,1,0,1,Brother conflict
14,NYM,"The beauty of the ex-boyfriend's new girlfriend is so bad, that beauty is not even half half of her.",https://raw.githubusercontent.com/Thang1911/Save_Image/main/12/12-14.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/12/12-14-1%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/12/12-14-1%20(2).png,25,0,2,1,1,Ex-bf's new gf not hot
15,NYM,You suddenly realize your new lover is your ex's best friend and they have known each other for a long time.,https://raw.githubusercontent.com/Thang1911/Save_Image/main/12/12-15.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/12/12-15-1%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/12/12-15-1%20(1).png,30,1,1,1,0,New lover is ex's bestie
16,NYM,"You and your new lover go shopping at the supermarket. You, unfortunately, lost your wallet and do not have the money to pay for the goods. Your new lover says they will pay you but when they go to the cashier they run away.",https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20Image%20(After)/3.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20Image%20(After)/3%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/Fix%20Image%20(After)/3%20(1).png,27,2,0,0,0,Lover ditches at checkout.
17,NYM,You and your new lover go to eat ice cream at a famous ice cream shop. Little did you know that your new lover is a huge fan of a famous singer and they met their idol at that ice cream parlor. Your new lover has left you behind to pursue that singer.,https://raw.githubusercontent.com/Thang1911/Save_Image/main/fix%20data%20-%202/8.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/fix%20data%20-%202/8%20(1).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/fix%20data%20-%202/8%20(2).png,0,0,0,0,1,Lover ditched for singer.
18,NYM,"Introduced to her family by her new boyfriend, the stressed-out sweaty girl washed away her make-up, making her boyfriend not recognize her and mistakenly picking up her roommate.",https://raw.githubusercontent.com/Thang1911/Save_Image/main/12/12-18.jpg,https://raw.githubusercontent.com/Thang1911/Save_Image/main/12/12-18-1%20(2).png,https://raw.githubusercontent.com/Thang1911/Save_Image/main/12/12-18-1%20(1).png,27,0,1,1,1,Makeup-less girl mistaken.
