id,mask,thongtin,image,nu,nam,dotuoi,danam,danu,ngswap,vtrinam,tomLuocText
1,VHCCT,The husband had a heart attack when he learned that the children he raised were the products of his wife and brother.,https://github.com/sonnh7289/futurelove-images/blob/main/dotquypro.jpeg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/dotquypro2.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/dotquypro1.png?raw=true,60,1,0,1,1,Husband's world shattered
2,VHCCT,"At the age of 60, the husband wanted his old ugly wife to die first so that he could go one step further, not beyond the expected result that he was the first to die.",https://github.com/sonnh7289/futurelove-images/blob/main/benhvienpro.jpeg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/benhvienpro2.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/benhvienpro1.png?raw=true,60,1,0,0,1,Unrequited love
3,VHCCT,"When he heard the news of his wife's death, he was overjoyed that he would be able to take another step forward with beautiful girls.",https://github.com/sonnh7289/futurelove-images/blob/main/tinhyeu-hoagio.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/tinhyeu-hoagio2.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/tinhyeu-hoagio1.png?raw=true,35,1,1,0,1,Husband's relief
4,VHCCT,"When she heard that her husband died of poisoning with her cooking, she tried the food she cooked but was still alive",https://github.com/sonnh7289/futurelove-images/blob/main/phongdotquy.jpeg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/phongdotquy1.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/phongdotquy2.png?raw=true,40,0,1,1,0,Cooking mistake mystery
5,VHCCT,"Hearing the neighbor's news that her husband had died from stabbing a chicken, her sister-in-law quickly took her husband home to find out that the dead man was the neighbor's husband.",https://github.com/sonnh7289/futurelove-images/blob/main/ongbagia.jpeg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/ongbagia2.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/ongbagia1.png?raw=true,35,1,1,1,1,Husband's death a mix-up
6,VHCCT,"Seeing that his wife was beaten away by the waves, the husband immediately jumped to save his wife, but he could not swim and died, now his sister-in-law is happy with her new husband.",https://github.com/sonnh7289/futurelove-images/blob/main/bagiamayman.jpeg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/bagiamayman1.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/bagiamayman2.png?raw=true,35,1,0,0,0,Widow's new life
7,VHCCT,"Her husband, suffering from cancer, passed away 3 weeks ago.",https://github.com/sonnh7289/futurelove-images/blob/main/sieugiadeplao.jpeg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/sieugiadeplao1.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/sieugiadeplao2.png?raw=true,50,1,1,2,0,Cancer took husband
8,VHCCT,"At the age of 70, the old woman passed away when she heard that her husband was still able to play with 3 mistresses outside.",https://github.com/sonnh7289/futurelove-images/blob/main/oldmanpro.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/oldmanpro1.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/oldmanpro2.png?raw=true,70,1,1,1,0,Heartbreak killed the old
9,VHCCT,The old man had a heart attack when he heard that his 60-year-old wife still asked to lift her breasts to swing with young men.,https://github.com/sonnh7289/futurelove-images/blob/main/60tuoi-dep.jpeg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/60tuoi-dep2.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/60tuoi-dep1.png?raw=true,60,1,1,1,1,Heartbroken old man
10,VHCCT,"The boy owes too much money and commits suicide to not have to pay the debt, but every time he commits suicide, people save his life.",https://github.com/sonnh7289/futurelove-images/blob/main/gaitre-onggia.jpeg?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/gaitre-onggia1.png?raw=true,https://github.com/sonnh7289/futurelove-images/blob/main/gaitre-onggia2.png?raw=true,30,1,0,0,0,Debt-ridden boy's plight
